wilayah,jenis_wilayah,tahun,bulan,bulan_ke,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,inflasi_yoy,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,is_bulan_awal_tahun,is_bulan_tengah_tahun,is_bulan_akhir_tahun
Kabupaten Bekasi,Kabupaten,2024,Agustus,8,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,1,0
Kabupaten Bekasi,Kabupaten,2024,September,9,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,0,1
Kabupaten Bekasi,Kabupaten,2024,Oktober,10,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,0,1
Kabupaten Bekasi,Kabupaten,2024,November,11,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,0,1
Kabupaten Bekasi,Kabupaten,2024,Desember,12,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,0,1
Kabupaten Bekasi,Kabupaten,2025,Januari,1,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,1,0,0
Kabupaten Bekasi,Kabupaten,2025,Februari,2,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,1,0,0
Kabupaten Bekasi,Kabupaten,2025,Maret,3,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,1,0,0
Kabupaten Bekasi,Kabupaten,2025,April,4,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,1,0
Kabupaten Bekasi,Kabupaten,2025,Mei,5,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,1,0
Kabupaten Bekasi,Kabupaten,2025,Juni,6,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,1,0
Kabupaten Bekasi,Kabupaten,2025,Juli,7,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,1,0
Kabupaten Bekasi,Kabupaten,2025,Agustus,8,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,1,0
Kabupaten Bekasi,Kabupaten,2025,September,9,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,0,1
Kabupaten Bekasi,Kabupaten,2025,Oktober,10,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,0,1
Kabupaten Bekasi,Kabupaten,2025,November,11,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,0,1
Kabupaten Bekasi,Kabupaten,2025,Desember,12,,4.36,0.365,90.41,10.07,13.22,,11.645,,51.0275,0,0,1
Kabupaten Bogor,Kabupaten,2021,Januari,1,12.22,8.13,0.396,90.07,8.31,12.49,,10.4,20.35,50.235,1,0,0
Kabupaten Bogor,Kabupaten,2021,Februari,2,12.22,8.13,0.396,90.07,8.31,12.49,,10.4,20.35,50.235,1,0,0
Kabupaten Bogor,Kabupaten,2021,Maret,3,12.22,8.13,0.396,90.07,8.31,12.49,,10.4,20.35,50.235,1,0,0
